status,name,scope_calls,scope_calls Δ,scope_calls Δ%,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,bench_btree_add_00001,,,,49359,-7944,-13.86%,0,0,0.00%,0,0,0.00%
,bench_btree_add_00010,,,,49359,-7944,-13.86%,0,0,0.00%,0,0,0.00%
new,bench_btree_add_00050,,,,256551,,,0,,,0,,
,bench_btree_add_00100,,,,548249,-79302,-12.64%,0,0,0.00%,0,0,0.00%
,bench_btree_add_01000,,,,5706594,-775735,-11.97%,0,0,0.00%,0,0,0.00%
,bench_btree_add_10000,,,,57301658,-7700147,-11.85%,0,0,0.00%,0,0,0.00%
,bench_sqlite_add_00001,,,,407462,1568,0.39%,1,1,1.0E99,0,0,0.00%
,bench_sqlite_add_00010,,,,407462,1568,0.39%,1,1,1.0E99,0,0,0.00%
new,bench_sqlite_add_00050,,,,453089,,,1,,,0,,
,bench_sqlite_add_00100,,,,529542,-4541,-0.85%,1,1,1.0E99,0,0,0.00%
,bench_sqlite_add_01000,,,,2334600,-1741877,-42.73%,1,0,0.00%,0,0,0.00%
,bench_sqlite_add_10000,,,,20441029,-2146477,-9.50%,2,0,0.00%,0,0,0.00%
,bench_sqlite_memory_journal_add_00001,,,,202686,879,0.44%,0,0,0.00%,0,0,0.00%
,bench_sqlite_memory_journal_add_00010,,,,202686,879,0.44%,0,0,0.00%,0,0,0.00%
new,bench_sqlite_memory_journal_add_00050,,,,248313,,,0,,,0,,
,bench_sqlite_memory_journal_add_00100,,,,324840,-5156,-1.56%,0,0,0.00%,0,0,0.00%
,bench_sqlite_memory_journal_add_01000,,,,2064459,-1652736,-44.46%,0,0,0.00%,0,0,0.00%
,bench_sqlite_memory_journal_add_10000,,,,18909213,-2145056,-10.19%,3,2,200.00%,0,0,0.00%
,bench_sqlite_no_journal_add_00001,,,,149520,1828,1.24%,1,1,1.0E99,0,0,0.00%
,bench_sqlite_no_journal_add_00010,,,,149520,1828,1.24%,1,1,1.0E99,0,0,0.00%
new,bench_sqlite_no_journal_add_00050,,,,195171,,,1,,,0,,
,bench_sqlite_no_journal_add_00100,,,,271660,-4281,-1.55%,1,1,1.0E99,0,0,0.00%
,bench_sqlite_no_journal_add_01000,,,,1993575,-1640152,-45.14%,1,0,0.00%,0,0,0.00%
,bench_sqlite_no_journal_add_10000,,,,18612903,-2101689,-10.15%,2,0,0.00%,0,0,0.00%
